サンプルID	記事ID	人名ID	役割	初刊情報	初出情報
LBa0_00002	LBa0_00002_F001	59986	実著者	1986	1984
LBa0_00002	LBa0_00002_V001	59986	実著者	1986	1984
LBa0_00003	LBa0_00003_F001	62281	実著者	1986	
LBa0_00003	LBa0_00003_V001	62281	実著者	1986	
LBa0_00006	LBa0_00006_F001	64240	実著者	1986	
LBa0_00006	LBa0_00006_V001	64240	実著者	1986	
LBa0_00007	LBa0_00007_F001	50905	実著者	1890	1890
LBa0_00007	LBa0_00007_F002	50905	実著者	1890	1890
LBa0_00007	LBa0_00007_V001	50905	実著者	1890	1890
LBa1_00003	LBa1_00003_F001	51496	実著者	1986	
LBa1_00003	LBa1_00003_V001	51496	実著者	1986	
LBa1_00004	LBa1_00004_F001	45779	実著者	1971	
LBa1_00004	LBa1_00004_V001	45779	実著者	1971	
LBa1_00005	LBa1_00005_F001	30311	実著者	1986	
LBa1_00005	LBa1_00005_V001	30311	実著者	1986	
LBa1_00006	LBa1_00006_F001	108831	訳者	1986	
LBa1_00006	LBa1_00006_F001	459606	原著者	1986	
LBa1_00006	LBa1_00006_F001	460134	原著者	1986	
LBa1_00006	LBa1_00006_V001	108831	訳者	1986	
LBa1_00006	LBa1_00006_V001	459606	原著者	1986	
LBa1_00006	LBa1_00006_V001	460134	原著者	1986	
LBa1_00007	LBa1_00007_F001	73615	実著者	1986	
LBa1_00007	LBa1_00007_V001	73615	実著者	1986	
LBa1_00008	LBa1_00008_F001	31536	実著者	1986	
LBa1_00008	LBa1_00008_V001	31536	実著者	1986	
LBa1_00012	LBa1_00012_F001	447877	実著者	1986	
LBa1_00012	LBa1_00012_V001	447877	実著者	1986	
LBa1_00013	LBa1_00013_F001	70702	実著者	1986	
LBa1_00013	LBa1_00013_V001	70702	実著者	1986	
LBa1_00014	LBa1_00014_F001	41672	実著者	1986	
LBa1_00014	LBa1_00014_V001	41672	実著者	1986	
LBa1_00015	LBa1_00015_F001	0	実著者	1986	
LBa1_00015	LBa1_00015_V001	0	実著者	1986	
LBa1_00016	LBa1_00016_F001	126913	訳者	1986	
LBa1_00016	LBa1_00016_F001	433764	原著者	1986	
LBa1_00016	LBa1_00016_V001	126913	訳者	1986	
LBa1_00016	LBa1_00016_V001	433764	原著者	1986	
LBa2_00001	LBa2_00001_F001	9752	実著者	1986	n.d.-n.d.
LBa2_00001	LBa2_00001_V001	9752	実著者	1986	n.d.-n.d.
LBa2_00003	LBa2_00003_F001	132232	実著者	1986	1985
LBa2_00003	LBa2_00003_V001	132232	実著者	1986	1985
LBa2_00005	LBa2_00005_F001	93304	実著者	1986	1984-1985
LBa2_00005	LBa2_00005_F002	93304	実著者	1986	1984-1985
LBa2_00005	LBa2_00005_F003	93304	実著者	1986	1984-1985
LBa2_00005	LBa2_00005_V001	93304	実著者	1986	1984-1985
LBa2_00006	LBa2_00006_F001	72653	実著者	1986	
LBa2_00006	LBa2_00006_V001	72653	実著者	1986	
LBa2_00007	LBa2_00007_F001	9637	実著者	1961	
LBa2_00007	LBa2_00007_V001	9637	実著者	1961	
LBa2_00009	LBa2_00009_F001	3536	実著者	1986	
LBa2_00009	LBa2_00009_V001	3536	実著者	1986	
LBa2_00012	LBa2_00012_F001	2505483	実著者	1986	1985
LBa2_00012	LBa2_00012_V001	2505483	実著者	1986	1985
LBa2_00013	LBa2_00013_F001	12567	実著者	1986	
LBa2_00013	LBa2_00013_V001	12567	実著者	1986	
LBa2_00014	LBa2_00014_F001	12116	実著者	1986	
LBa2_00014	LBa2_00014_V001	12116	実著者	1986	
LBa2_00016	LBa2_00016_F001	92825	訳者	1986	
LBa2_00016	LBa2_00016_F001	436509	原著者	1986	
LBa2_00016	LBa2_00016_V001	92825	訳者	1986	
LBa2_00016	LBa2_00016_V001	436509	原著者	1986	
LBa2_00017	LBa2_00017_F001	48611	実著者	1986	
