書誌ID	タイトル	副題	巻号	責任表示	出版者	出版年	ISBN	判型	ページ数	ジャンル1	ジャンル2	ジャンル3	ジャンル4	責任表示ID
BK_20000215	これが正しい自然塩の選び方	常識を破壊！		知念隆一，新美久始|著	報知新聞社	1998	483190127X	21cm	189	6 産業	669	0077		00195334;00732077
BK_20000563	悪魔の辞典	ビジネス版		山田英夫|著	メディアファクトリー	1998	4889916687	18cm	176	3 社会科学	336	0034		00205308
BK_20001179	鴨川の景観は守られた	"ポン・デ・ザール"勝利の記録		木村万平|著;鴨川の景観を守る連絡会|監修	かもがわ出版	1999	4876994471	21cm	159	5 技術・工学	518	0036		00190989;00757787
BK_20001348	究極のエニアグラム性格学	人の性格って、おもしろい！		竜頭万里子|著	中央アート出版社	1999	4886399363	19cm	253	1 哲学	141	0011		00758728
BK_20001363	見慣れた景色が変わるとき	｢癌告知｣18人の知恵と勇気に学ぶ		日本ペンクラブ|編	光文社	1999	4334972357	20cm	368	9 文学	914	0095		00259571
BK_20001530	読んではいけない読むなら覚悟せよ			石井竜也|著	ぴあ	1999	4892150592	19cm	221	3 社会科学	304	0095		00382375
BK_20001712	ファンの心をときめかせた世界の映画ベストセレクション			渡辺祥子|解説	近代映画社	1999	4764818973	30cm	208	7 芸術・美術	778	0074		00091000
BK_20001850	熱闘ジャングルアイランド			岡崎大五|著	青春出版社	1999	4413031571	20cm	240	2 歴史	292	0026		00652081
BK_20001857	おどろ気ももの木台湾日記			及川朋子|ほか著	毎日新聞社	1999	4620313785	19cm	207	3 社会科学	382	0095		00721444
BK_20002009	東京闇市興亡史			猪野健治|編	双葉社	1999	457515279X	18cm	382	2 歴史	210	0295		00019308
BK_20002043	天才盲導犬エマと過ごした素晴らしい日々			シーラ・ホッケン|著;甲木善久|訳	どうぶつ社	1999	4886223109	19cm	233	3 社会科学	369	0098		00443478;00759715
BK_20002053	ヤァ！ヤァ！ヤァ！ビートルズがやって来た	伝説の呼び屋・永島達司の生涯		野地秩嘉|著	幻冬舎	1999	4877283277	20cm	328	2 歴史	289	0095		00381333
BK_20002167	植物巡礼	プラント・ハンターの回想		F.キングドンーウォード|著;塚谷裕一|訳	岩波書店	1999	4003347811	15cm	356	4 自然科学	470	0126		00621628;00275544
BK_20002169	制作		下	エミール・ゾラ|作;清水正和|訳	岩波書店	1999	4003254562	15cm	371	9 文学	953	0197		00461898;00071600
BK_20002176	能楽師になった外交官			パトリック・ノートン|著;大内侯子，栩木泰|訳	中央公論新社	1999	4121014898	18cm	158	2 歴史	289	1298		00759944;00759945;00363320
BK_20002183	関根勤のやるだけマルもうけ！！			関根勤|著	双葉社	1999	4575290300	19cm	255	7 芸術・美術	783	0095		00214327
BK_20002190	ブランド	価値の創造		石井淳蔵|著	岩波書店	1999	4004306345	18cm	215	6 産業	675	0234		00116017
BK_20002401	淳和院正子			三枝和子|著	講談社	1999	406209911X	20cm	288	9 文学	913	0093		00064798
BK_20002431	人生の実りの言葉			中野孝次|著	偕成社	1999	4038082407	20cm	190	分類なし		8012		00052510
BK_20002458	未婚の母になっても	ハズバンド・ハンター3		リン・グレアム|作;槙由子|訳	ハーレクイン	1999	4833515253	17cm	156	9 文学	933	0297		00513545
BK_20002488	龍臥亭事件	長編推理小説	上	島田荘司|著	光文社	1999	4334728898	16cm	577	9 文学	913	0193		00122924
BK_20002695	からだのなかのタオ	道教の身体技法		石田秀実|著	平河出版社	1997	4892032794	20cm	271	1 哲学	166	0047		00166985
BK_20003277	ポンフェイ博士の知れば知るほど｢はてな？｣のニッポン			彭飛|著	祥伝社	1999	4396610823	20cm	218	3 社会科学	302	0081		00281078
BK_20003942	逆工場	見えてきた製造業これからの10年		吉川弘之，IM研究会|編著	日刊工業新聞社	1999	4526044326	19cm	215	5 技術・工学	509	3034		00097430;00759589
BK_20004002	山岡鉄舟の武士道			山岡鉄舟|口述;勝部真長|編	角川書店	1999	4043485018	15cm	282	1 哲学	156	0312		00094167;00028302
BK_20004052	われ万死に値す	ドキュメント竹下登		岩瀬達哉|著	新潮社	1999	4104325015	20cm	231	2 歴史	289	0095		00685074
BK_20004065	食料社会的自給のプラン	｢新農業基本法｣への対案		大嶋茂男|著	大月書店	1999	427214040X	21cm	187	6 産業	611	0033		00062611
BK_20004082	まんが介護保険に強くなる本			江島仁|著	中央経済社	1999	4502565717	21cm	222	3 社会科学	364	0036		00127754
BK_20004100	ロサンゼルスローカルズ	カリフォルニアの新しい風		阿部仁史|著	丸善	1999	4621046705	22cm	106	5 技術・工学	523	0352		00759934
BK_20004340	ミイラ解体	｢王家の谷｣造営職人長ホルエムケニシの生涯と死		ジョン・H.テーラー|著;鈴木麻穂|訳	學藝書林	1999	4875170483	19cm	147	2 歴史	242	0322		00759967;00384571
BK_20004349	女性の｢オトコ運｣は父親で決まる			岩月謙司|著	二見書房	1999	4576991671	20cm	236	3 社会科学	367	0095		00220918
BK_20004351	落ちこぼれてエベレスト	7大陸最高峰世界最年少登頂		野口健|著	集英社インターナショナル;集英社(発売)	1999	4797670088	20cm	285	2 歴史	292	0095		00759774
BK_20004355	経世会竹下学校			大下英治|著	講談社	1999	4062098873	20cm	420	9 文学	913	0095		00122637
BK_20004460	ナマコ			鶴見良行|著	みすず書房	1999	4622038196	22cm	464	2 歴史	220	1336		00086736
BK_20004666	クスリをいっさい使わないで病気を治す本			森下敬一|著	三笠書房	1999	4837918026	19cm	346	4 自然科学	498	0030		00047435
BK_20004781	裁判を変えよう	市民がつくる司法改革		大出良知，水野邦夫，村和男|編著	日本評論社	1999	4535512043	21cm	232	3 社会科学	327	3032		00328958;00760626;00760627
BK_20004820	テレビ消灯時間		3	ナンシー関|著	文藝春秋	1999	4163557105	19cm	205	6 産業	699	0095		00209242
BK_20004912	バラ	人気品種と育て方		日本ばら会|編	日本放送出版協会	1999	4140401516	21cm	175	6 産業	627	2361		00293327
BK_20004967	奇術師のパズル	長編推理小説		釣巻礼公|著	光文社	1999	4334073603	18cm	312	9 文学	913	0293		00428514
BK_20004982	フラッシュ・オーバー			樋口京輔|著	角川書店	1999	4048731823	20cm	433	9 文学	913	0093		00761039
BK_20004995	サッカー細見	’98-'99		佐山一郎|著	晶文社	1999	4794964161	19cm	308	7 芸術・美術	783	0075		00149934
BK_20005038	アンの愛の家庭			L.M.モンゴメリー|作;掛川恭子|訳	講談社	1999	4062704064	20cm	345	9 文学	933	0397		00450382;00119382
BK_20005078	消えたスクールバス		下	ザカリー・アラン・フォックス|著;川副智子|訳	角川書店	1999	4042828027	15cm	327	9 文学	933	0197		00761126;00386404
BK_20005753	江戸がのぞいた<西洋>			戸沢行夫|著	教育出版	1999	4316357603	19cm	197	2 歴史	210	0321		00219579
BK_20005755	創造のちから	｢不思議な企業｣林原の発想		牧野昇|著	エイチアンドアイ	1999	4901032046	20cm	269	5 技術・工学	570	0036		00039821
BK_20005824	横森理香の恋愛指南			横森理香|著;しりあがり寿|漫画	マガジンハウス	1999	483871078X	20cm	247	9 文学	914	0095		00254659;00184422
BK_20005930	万邦の賓客	中国歴史紀行		陳舜臣|著	集英社	1999	4087743977	20cm	292	9 文学	915	0095		00084124
BK_20006028	地下鉄100コラム			泉麻人|著	産経新聞ニュースサービス;扶桑社(発売)	1999	4594026699	19cm	309	9 文学	914	0095		00146852
BK_20006534	女性を生きるための哲学入門			松田幸子|著	夏目書房	1999	4931391559	19cm	252	1 哲学	104	1011		00157494
BK_20006540	はなしの名人	東京落語地誌		池内紀|著	角川書店	1999	4047033081	19cm	245	7 芸術・美術	779	0376		00018222
BK_20006567	侠客			池波正太郎|著	角川書店	1999	4041323185	15cm	678	9 文学	913	0193		00018182
BK_20006844	エジプト			荒俣宏|著	小学館	1999	4094031154	15cm	285	7 芸術・美術	727	0195		00003051
BK_20006879	知的財産法			田村善之|著	有斐閣	1999	4641044899	22cm	477	5 技術・工学	507	3032		00335002
BK_20007005	新・人間革命		第6巻	池田大作|著	聖教新聞社	1999	4412010287	20cm	389	9 文学	913	0093		00017720
BK_20007130	｢日本｣を超えろ			福田和也|著	文藝春秋	1999	4163556605	19cm	172	3 社会科学	304	0095		00202461
BK_20007134	ダブリンUSA	アイリッシュ・アメリカの旅		ジョセフ・オコーナー|著;茂木健|訳	東京創元社	1999	4488013880	19cm	286	9 文学	935	0098		00552512;00325215
BK_20007143	｢県民性｣交際術	出身地でわかる人付き合いのコツ		千石涼太郎|著	小学館	1999	4093851425	19cm	223	3 社会科学	361	0095		00419318
BK_20007202	社会保険・労働保険	届出書式と手続き　今スグ役立つ		中尾幸村|著	新星出版社	1999	4405100411	21cm	350	3 社会科学	364	2077		00414701
BK_20007278	バイカルチャルになれる人・なれない人	アメリカで変わる日本人		本田正文|著	丸善	1999	4621053051	18cm	188	3 社会科学	361	0230		00196088
BK_20007282	連立政権	日本の政治1993～		草野厚|著	文藝春秋	1999	4166600680	18cm	230	3 社会科学	312	0231		00131566
BK_20007415	中国・台湾・香港			中嶋嶺雄|著	PHP研究所	1999	4569608205	18cm	197	3 社会科学	312	0230		00053459
BK_20007577	報復の最終兵器			ボブ・メイヤー|著;酒井裕美|訳	二見書房	1999	4576991795	15cm	375	9 文学	933	0197		00471258;00349337
BK_20007599	盗まれた夢			アレクサンドラ・マリーニナ|著;吉岡ゆき|訳	作品社	1999	4878933321	20cm	372	9 文学	983	0097		00762102;00180185
