作品ID,作品名,作品名読み,分類番号,文字遣い種別,人物ID,姓,名,姓読み,名読み,テキストファイルURL,XHTML/HTMLファイルURL
045754,良夜,りょうや,NDC 913,新字新仮名,000374,饗庭,篁村,あえば,こうそん,https://www.aozora.gr.jp/cards/000374/files/45754_ruby_23695.zip,https://www.aozora.gr.jp/cards/000374/files/45754_23935.html
053182,三人の百姓,さんにんのひゃくしょう,NDC K913,新字新仮名,001584,秋田,雨雀,あきた,うじゃく,https://www.aozora.gr.jp/cards/001584/files/53182_ruby_49658.zip,https://www.aozora.gr.jp/cards/001584/files/53182_49659.html
043014,アグニの神,アグニのかみ,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/43014_ruby_17392.zip,https://www.aozora.gr.jp/cards/000879/files/43014_17430.html
000073,或敵打の話,あるかたきうちのはなし,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/73_ruby_1217.zip,https://www.aozora.gr.jp/cards/000879/files/73_15158.html
000122,或日の大石内蔵助,あるひのおおいしくらのすけ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/122_ruby_172.zip,https://www.aozora.gr.jp/cards/000879/files/122_15159.html
000129,或恋愛小説,あるれんあいしょうせつ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/129_ruby_1142.zip,https://www.aozora.gr.jp/cards/000879/files/129_15155.html
000057,一夕話,いっせきわ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/57_ruby_1172.zip,https://www.aozora.gr.jp/cards/000879/files/57_15160.html
000056,犬と笛,いぬとふえ,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/56_ruby_845.zip,https://www.aozora.gr.jp/cards/000879/files/56_15161.html
000177,魚河岸,うおがし,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/177_ruby_1019.zip,https://www.aozora.gr.jp/cards/000879/files/177_15162.html
000174,馬の脚,うまのあし,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/174_ruby_1111.zip,https://www.aozora.gr.jp/cards/000879/files/174_15163.html
000175,海のほとり,うみのほとり,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/175_ruby_1121.zip,https://www.aozora.gr.jp/cards/000879/files/175_15164.html
000176,運,うん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/176_ruby_761.zip,https://www.aozora.gr.jp/cards/000879/files/176_15165.html
000035,英雄の器,えいゆうのうつわ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/35_ruby_841.zip,https://www.aozora.gr.jp/cards/000879/files/35_15166.html
000116,おぎん,おぎん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/116_ruby_1095.zip,https://www.aozora.gr.jp/cards/000879/files/116_15168.html
000119,お時儀,おじぎ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/119_ruby_1007.zip,https://www.aozora.gr.jp/cards/000879/files/119_15169.html
000125,おしの,おしの,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/125_ruby_1099.zip,https://www.aozora.gr.jp/cards/000879/files/125_15170.html
000124,お律と子等と,おりつとこらと,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/124_ruby_952.zip,https://www.aozora.gr.jp/cards/000879/files/124_15171.html
